,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
89,30,C,2.066127547,1.764719245,0.301408302,38.72984367,33.0799038,5.649939874,39.6042206,33.015429956666665,6.588790644,2.1538251616666666,1.795326564,0.35849859766666664
90,31,A,1.403337076,1.12852538,0.274811696,28.29108486,22.75091839,5.540166466,26.379995753333333,22.142661103333335,4.237334653666666,1.3386871366666666,1.1242288953333333,0.214458241
91,31,B,1.288775094,1.106165283,0.182609811,24.15826554,20.73521964,3.423045908,26.379995753333333,22.142661103333335,4.237334653666666,1.3386871366666666,1.1242288953333333,0.214458241
92,31,C,1.32394924,1.137996023,0.185953216,26.69063686,22.94184528,3.748791587,26.379995753333333,22.142661103333335,4.237334653666666,1.3386871366666666,1.1242288953333333,0.214458241
93,32,A,1.952700126,1.606641761,0.346058365,36.60363113,30.11671972,6.486911414,33.70806787333333,28.632362673333333,5.075705202333333,1.8315628980000003,1.5562293150000002,0.2753335826666667
94,32,B,1.784049744,1.549057949,0.234991795,32.81127066,28.48942963,4.321841032,33.70806787333333,28.632362673333333,5.075705202333333,1.8315628980000003,1.5562293150000002,0.2753335826666667
95,32,C,1.757938824,1.512988235,0.244950588,31.70930183,27.29093867,4.418363161,33.70806787333333,28.632362673333333,5.075705202333333,1.8315628980000003,1.5562293150000002,0.2753335826666667
96,33,A,1.780442619,1.417865952,0.362576667,35.26377119,28.08251161,7.181259579,36.597046363333334,29.851073226666667,6.745973136,1.8589291746666667,1.5163379423333332,0.34259123233333333
97,33,B,1.876634667,1.54200097,0.334633697,36.50523685,29.99577468,6.509462168,36.597046363333334,29.851073226666667,6.745973136,1.8589291746666667,1.5163379423333332,0.34259123233333333
98,33,C,1.919710238,1.589146905,0.330563333,38.02213105,31.47493339,6.547197661,36.597046363333334,29.851073226666667,6.745973136,1.8589291746666667,1.5163379423333332,0.34259123233333333
99,34,A,1.309818012,1.098805146,0.211012865,26.40575322,22.15176251,4.25399071,25.73783059333333,21.590192793333333,4.147637798333332,1.331848908,1.117227649,0.21462125833333334
100,34,B,1.310178272,1.097916543,0.212261728,25.02285728,20.96890901,4.053948268,25.73783059333333,21.590192793333333,4.147637798333332,1.331848908,1.117227649,0.21462125833333334
101,34,C,1.37555044,1.154961258,0.220589182,25.78488128,21.64990686,4.134974417,25.73783059333333,21.590192793333333,4.147637798333332,1.331848908,1.117227649,0.21462125833333334
102,35,A,2.298387451,1.906738824,0.391648627,41.45779161,34.39332249,7.064469124,41.28433818333333,34.24904702333333,7.035291158666666,2.2182941510000003,1.840236634,0.37805751633333334
103,35,B,2.070018272,1.723119506,0.346898765,39.53490368,32.90954705,6.625356629,41.28433818333333,34.24904702333333,7.035291158666666,2.2182941510000003,1.840236634,0.37805751633333334
104,35,C,2.28647673,1.890851572,0.395625157,42.86031926,35.44427153,7.416047723,41.28433818333333,34.24904702333333,7.035291158666666,2.2182941510000003,1.840236634,0.37805751633333334
105,36,A,1.906983758,1.579305697,0.327678061,37.09560256,30.72144491,6.374157648,36.85378793333333,30.67110891,6.182679021999999,1.8612010536666668,1.5489011789999998,0.31229987433333334
106,36,B,1.826406784,1.522387602,0.304019181,36.82011271,30.6911273,6.128985405,36.85378793333333,30.67110891,6.182679021999999,1.8612010536666668,1.5489011789999998,0.31229987433333334
107,36,C,1.850212619,1.545010238,0.305202381,36.64564853,30.60075452,6.044894013,36.85378793333333,30.67110891,6.182679021999999,1.8612010536666668,1.5489011789999998,0.31229987433333334
109,37,B,1.642505476,1.372751667,0.26975381,32.53176299,27.18896984,5.342793143,30.496342929999997,25.59601047,4.900332461,1.55280195,1.3033415305,0.24946042
110,37,C,1.463098424,1.233931394,0.22916703,28.46092287,24.0030511,4.457871779,30.496342929999997,25.59601047,4.900332461,1.55280195,1.3033415305,0.24946042
111,38,A,2.125429333,1.757648485,0.367780848,41.34491523,34.19065808,7.15425715,42.75473501,35.669485116666664,7.0852498960000005,2.1166176203333333,1.7647122343333332,0.3519053853333334
112,38,B,2.264786914,1.879301975,0.385484938,43.25475466,35.89244771,7.362306949,42.75473501,35.669485116666664,7.0852498960000005,2.1166176203333333,1.7647122343333332,0.3519053853333334
113,38,C,1.959636614,1.657186243,0.30245037,43.66453514,36.92534956,6.739185589,42.75473501,35.669485116666664,7.0852498960000005,2.1166176203333333,1.7647122343333332,0.3519053853333334
114,39,A,2.603458039,2.177505098,0.425952941,46.9605857,39.27734314,7.683242555,46.85582199666667,39.51641162333333,7.339410373,2.5976500216666665,2.190758867,0.4068911546666667
