,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
110,37,C,2.187704343,1.7306792,0.457025143,54.16258895,42.8476848,11.31490415,54.23312159666667,42.77621654666667,11.456905046666668,2.1597228446666663,1.7035330153333332,0.45618982933333335
111,38,A,3.805596402,2.931063915,0.874532487,84.79612836,65.30983471,19.48629365,86.98168556666667,66.92472550333333,20.05696006666667,4.035430545333333,3.1048802966666664,0.9305502486666667
112,38,B,4.151230601,3.190419235,0.960811366,89.56110443,68.8319917,20.72911273,86.98168556666667,66.92472550333333,20.05696006666667,4.035430545333333,3.1048802966666664,0.9305502486666667
113,38,C,4.149464633,3.19315774,0.956306893,86.58782391,66.6323501,19.95547382,86.98168556666667,66.92472550333333,20.05696006666667,4.035430545333333,3.1048802966666664,0.9305502486666667
114,39,A,3.237665455,2.576443636,0.661221818,62.98068897,50.1182712,12.86241777,60.984859273333335,48.559249566666665,12.425609706666668,3.175888271333333,2.5287980556666665,0.6470902153333333
115,39,B,3.256447692,2.593090769,0.663356923,59.89081135,47.69071232,12.20009903,60.984859273333335,48.559249566666665,12.425609706666668,3.175888271333333,2.5287980556666665,0.6470902153333333
116,39,C,3.033551667,2.416859762,0.616691905,60.0830775,47.86876518,12.21431232,60.984859273333335,48.559249566666665,12.425609706666668,3.175888271333333,2.5287980556666665,0.6470902153333333
117,40,A,4.041455593,3.081115254,0.960340339,84.33397468,64.29433402,20.03964066,84.40628610666666,64.28796774333333,20.118318363333334,4.268076062,3.250698911666667,1.01737715
118,40,B,4.3154,3.2846,1.0308,83.94532079,63.89368324,20.05163755,84.40628610666666,64.28796774333333,20.118318363333334,4.268076062,3.250698911666667,1.01737715
119,40,C,4.447372593,3.386381481,1.060991111,84.93956285,64.67588597,20.26367688,84.40628610666666,64.28796774333333,20.118318363333334,4.268076062,3.250698911666667,1.01737715
120,41,A,3.655457857,2.766416429,0.889041429,72.40066492,54.79214826,17.60851666,66.09468455666666,50.527587966666665,15.56709659,3.525197144333333,2.6956612686666666,0.8295358756666666
121,41,B,3.552903946,2.72897034,0.823933605,61.57328052,47.29417368,14.27910684,66.09468455666666,50.527587966666665,15.56709659,3.525197144333333,2.6956612686666666,0.8295358756666666
