,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
123,42,A,1.664893714,1.359874286,0.305019429,20.60949282,16.8336988,3.775794016,20.154670566666667,16.376153983333335,3.77851658,1.6147121093333334,1.31199333,0.30271877966666666
124,42,B,1.411175185,1.146513704,0.264661481,17.96785268,14.59803824,3.369814435,20.154670566666667,16.376153983333335,3.77851658,1.6147121093333334,1.31199333,0.30271877966666666
125,42,C,1.768067429,1.429592,0.338475429,21.8866662,17.69672491,4.189941289,20.154670566666667,16.376153983333335,3.77851658,1.6147121093333334,1.31199333,0.30271877966666666
126,43,A,2.841874839,2.28884,0.553034839,31.15870411,25.09515456,6.063549551,31.150176446666666,25.197469209999998,5.9527072379999995,2.7316973683333337,2.209128585666667,0.5225687826666667
127,43,B,2.809674409,2.268292043,0.541382366,30.80565419,24.86986395,5.935790243,31.150176446666666,25.197469209999998,5.9527072379999995,2.7316973683333337,2.209128585666667,0.5225687826666667
128,43,C,2.543542857,2.070253714,0.473289143,31.48617104,25.62738912,5.85878192,31.150176446666666,25.197469209999998,5.9527072379999995,2.7316973683333337,2.209128585666667,0.5225687826666667
129,44,A,1.751747692,1.419025641,0.332722051,24.1628917,19.57345972,4.589431987,24.007469760000003,19.579184646666665,4.428285114666667,1.755736461,1.4319865079999998,0.3237499533333334
130,44,B,1.785005965,1.467861404,0.317144561,23.99031855,19.72792436,4.26239419,24.007469760000003,19.579184646666665,4.428285114666667,1.755736461,1.4319865079999998,0.3237499533333334
131,44,C,1.730455726,1.409072479,0.321383248,23.86919903,19.43616986,4.433029167,24.007469760000003,19.579184646666665,4.428285114666667,1.755736461,1.4319865079999998,0.3237499533333334
132,45,A,2.222483529,1.792594118,0.429889412,26.72576926,21.55627078,5.169498479,26.892431993333332,21.88646027333333,5.005971721000001,2.17340985,1.7686158206666667,0.40479402999999997
133,45,B,2.121435926,1.733266296,0.38816963,27.01128009,22.0688925,4.942387588,26.892431993333332,21.88646027333333,5.005971721000001,2.17340985,1.7686158206666667,0.40479402999999997
134,45,C,2.176310095,1.779987048,0.396323048,26.94024663,22.03421754,4.906029096,26.892431993333332,21.88646027333333,5.005971721000001,2.17340985,1.7686158206666667,0.40479402999999997
135,46,A,1.500063333,1.209836667,0.290226667,16.97744453,13.6927118,3.284732734,16.193003386666668,13.163380573333333,3.029622818,1.4457491976666665,1.1751523076666668,0.270596891
136,46,B,1.397554583,1.155425417,0.242129167,15.8172691,13.07689515,2.74037396,16.193003386666668,13.163380573333333,3.029622818,1.4457491976666665,1.1751523076666668,0.270596891
137,46,C,1.439629677,1.160194839,0.279434839,15.78429653,12.72053477,3.06376176,16.193003386666668,13.163380573333333,3.029622818,1.4457491976666665,1.1751523076666668,0.270596891
138,47,A,1.890892549,1.541653333,0.349239216,22.73832732,18.53866214,4.199665181,22.50631833,18.34497025,4.1613480780000005,1.9514537323333334,1.5904293166666665,0.36102441566666665
139,47,B,2.090859355,1.694224516,0.396634839,22.92446771,18.57570913,4.348758577,22.50631833,18.34497025,4.1613480780000005,1.9514537323333334,1.5904293166666665,0.36102441566666665
140,47,C,1.872609293,1.535410101,0.337199192,21.85615996,17.92053948,3.935620476,22.50631833,18.34497025,4.1613480780000005,1.9514537323333334,1.5904293166666665,0.36102441566666665
141,48,A,1.761673333,1.428364,0.333309333,18.69215534,15.15559171,3.536563627,18.682692383333332,15.212891309999998,3.469801073333333,1.7420231016666667,1.4185483106666668,0.323474791
142,48,B,1.776141778,1.457842222,0.318299556,18.84567211,15.46836906,3.377303058,18.682692383333332,15.212891309999998,3.469801073333333,1.7420231016666667,1.4185483106666668,0.323474791
143,48,C,1.688254194,1.36943871,0.318815484,18.5102497,15.01471316,3.495536535,18.682692383333332,15.212891309999998,3.469801073333333,1.7420231016666667,1.4185483106666668,0.323474791
144,49,A,2.019395349,1.610744186,0.408651163,30.71160784,24.49671076,6.214897079,30.344592993333332,24.419689860000002,5.924903130666666,1.8960071989999998,1.5254402133333336,0.3705669856666667
145,49,B,1.798099291,1.454176454,0.343922837,29.88988706,24.17284195,5.717045106,30.344592993333332,24.419689860000002,5.924903130666666,1.8960071989999998,1.5254402133333336,0.3705669856666667
146,49,C,1.870526957,1.5114,0.359126957,30.43228408,24.58951687,5.842767207,30.344592993333332,24.419689860000002,5.924903130666666,1.8960071989999998,1.5254402133333336,0.3705669856666667
