Leaf,Measurement Type,Integration Time,LED Current,Score
mango,reflectance,100,100 mA,0.8509034852679204
mango,reflectance,100,100 mA,0.8617788735500138
mango,reflectance,100,100 mA,0.7910692105844844
mango,reflectance,100,100 mA,0.8971910853092977
mango,reflectance,100,100 mA,0.8126277300527412
mango,reflectance,100,100 mA,0.8227796964673482
mango,reflectance,100,100 mA,0.7790672271988498
mango,reflectance,150,12.5 mA,0.8952004380987911
mango,reflectance,150,12.5 mA,0.922358830346332
mango,reflectance,150,12.5 mA,0.8533171423750274
mango,reflectance,150,12.5 mA,0.8855180889867083
mango,reflectance,150,12.5 mA,0.907489050267399
mango,reflectance,150,12.5 mA,0.927309937682083
mango,reflectance,150,12.5 mA,0.8614054543007956
mango,reflectance,150,12.5 mA,0.8848837108281891
mango,reflectance,150,12.5 mA,0.8808171273824466
mango,reflectance,150,12.5 mA,0.8783887117969098
mango,reflectance,150,25 mA,0.8899883528959733
mango,reflectance,150,25 mA,0.8625647840221333
mango,reflectance,150,25 mA,0.9334482847530616
mango,reflectance,150,25 mA,0.8984914271035714
mango,reflectance,150,25 mA,0.9007579938041356
mango,reflectance,150,25 mA,0.8429049545776421
mango,reflectance,150,25 mA,0.918370045068763
mango,reflectance,150,25 mA,0.8750771397826004
mango,reflectance,150,25 mA,0.8935817325691138
mango,reflectance,150,25 mA,0.8813701216662273
mango,reflectance,150,50 mA,0.8703602630477036
mango,reflectance,150,50 mA,0.8531022365671078
mango,reflectance,150,50 mA,0.8344785896621537
mango,reflectance,150,50 mA,0.8666658987196582
mango,reflectance,150,50 mA,0.8622667048667731
mango,reflectance,150,50 mA,0.8499112712463219
mango,reflectance,150,50 mA,0.8457409056756148
mango,reflectance,150,50 mA,0.8583417597214482
mango,reflectance,150,50 mA,0.8408083686012819
mango,reflectance,150,50 mA,0.8409400429218421
mango,reflectance,150,100 mA,0.8102795566851657
mango,reflectance,150,100 mA,0.9245866744062842
mango,reflectance,150,100 mA,0.8690029211594057
mango,reflectance,150,100 mA,0.9077133331440923
mango,reflectance,150,100 mA,0.8291095574131523
mango,reflectance,150,100 mA,0.8952715659696753
mango,reflectance,150,100 mA,0.793799354202539
mango,reflectance,150,100 mA,0.8974146579220003
mango,reflectance,150,100 mA,0.908483777167656
mango,reflectance,150,100 mA,0.8396354576737641
mango,reflectance,200,12.5 mA,0.8802055942508911
mango,reflectance,200,12.5 mA,0.9028672393419689
mango,reflectance,200,12.5 mA,0.8873476275306036
mango,reflectance,200,12.5 mA,0.8526998749264556
mango,reflectance,200,12.5 mA,0.9205766192678133
mango,reflectance,200,12.5 mA,0.8848189023550375
